invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-43792700001,1/14/2022,3678,"SMOKE SHOP, THE",1918 SE 14TH ST,DES MOINES,50320.0,POINT(-93.59701 41.57093),77,POLK,1031100.0,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,35944,FLEISCHMANNS 80PRF VODKA,24,375,1.74,2.61,48,125.28,18,4.75
INV-31104600005,10/16/2020,3825,SHOP N SAVE #2 / E 14TH,1372 E 14TH ST,DES MOINES,50316.0,POINT(-93.600499 41.604893),77,POLK,1031100.0,AMERICAN VODKAS,55.0,SAZERAC NORTH AMERICA,35946,FLEISCHMANNS 80PRF VODKA,12,750,3,4.5,24,108,18,4.75
INV-50701100004,8/26/2022,4779,CASEY'S GENERAL STORE #3782 / MOUNT AYR,1305 E SOUTH STREET,MOUNT AYR,50854,POINT(-94.22241 40.711112),,RINGGOLD,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-48083300020,6/6/2022,4781,CASEY'S GENERAL STORE #3079 / EARLY,"2245, US HWY 71",EARLY,50535,POINT(-95.147987 42.467332),81,SAC,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-16717400006,1/3/2019,5269,LEFTY'S CONVENIENCE STORE INC,"105, MAIN ST",ALBURNETT,52202,POINT(-91.618537 42.148),57,LINN,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-39816700006,9/3/2021,5714,YESWAY #1031,830 NORTH 18TH STREET,CENTERVILLE,52544.0,POINT(-92.867958 40.740003),4,APPANOOSE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-48245100002,6/10/2022,6068,STAR CONVENIENCE / FORT DODGE,115 N 22ND ST,FORT DODGE,50501,POINT(-94.168007 42.507885),94,WEBSTER,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-60194800005,7/11/2023,5994,HAWKEYE SMOKE AND LIQUOR / IOWA CITY,108 E. COLLEGE ST,IOWA CITY,52240.0,POINT(-91.534203231 41.659122404),,JOHNSON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,2,3,48,144,18,4.75
INV-51092900009,9/9/2022,4824,CASEY'S GENERAL STORE #3852 / CRESTON,107 W TAYLOR ST,CRESTON,50801,POINT(-94.362115 41.049213),,UNION,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-38147200015,7/7/2021,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,POINT(-91.530463 41.642764),52,JOHNSON,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-24439600010,1/8/2020,5822,CASEY'S GENERAL STORE #2836 / MONROE,509 S MONROE ST,MONROE,50170.0,POINT(-93.101746 41.517646),50,JASPER,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-35426700023,3/30/2021,5691,LOGAN AVE CONVENIENCE STORE / WATERLOO,735 LOGAN AVE,WATERLOO,50703.0,POINT(-92.337744 42.510453),7,BLACK HAWK,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-59370400010,6/13/2023,6344,HELLO MART LLC / SIOUX CITY,4218 MORNINGSIDE AVENUE,SIOUX CITY,51106.0,POINT(-96.35281897 42.470301996),,WOODBURY,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,2,3,48,144,18,4.75
INV-52560800004,10/28/2022,5738,CASEY'S GENERAL STORE #3291,5110 HWY 13 N,COGGON,52218,POINT(-91.52937 42.23857),,LINN,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36304,HAWKEYE VODKA,24,375,1.86,2.79,48,133.92,18,4.75
INV-49049900041,7/9/2022,2523,HY-VEE FOOD STORE / CENTERVILLE,609 N 18TH,CENTERVILLE,52544,POINT(-92.867967 40.737577),4,APPANOOSE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.35,5.03,24,120.72,18,4.75
INV-59654500006,6/22/2023,5960,CASEY'S GENERAL STORE #1938 / ALTOONA,3348 8TH ST SW,ALTOONA,50009.0,POINT(-93.502617 41.643560017),,POLK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.5,5.25,24,126,18,4.75
INV-31952900089,11/16/2020,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),82,SCOTT,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-15114700001,10/17/2018,4558,KUM & GO #226 / SIOUX CITY,1373 PIERCE ST,SIOUX CITY,51105,POINT(-96.405013 42.504732),97,WOODBURY,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA,12,750,3.34,5.01,24,120.24,18,4.75
INV-23662600085,12/4/2019,2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402.0,POINT(-91.658105 42.010971),57,LINN,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-31206500004,10/20/2020,4512,METRO MART #4 / WATERLOO,"2332, FALLS AVE",WATERLOO,50701.0,POINT(-92.376365 42.500152),7,BLACK HAWK,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-58048000004,5/2/2023,5421,YESWAY # 1009/ HARLAN,618 DURANT STREET,HARLAN,51537.0,POINT(-95.318509971 41.657070011),,SHELBY,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.5,5.25,24,126,18,4.75
INV-44993100004,2/22/2022,4759,WALGREENS #10855 / WATERLOO,1850 LOGAN AVE,WATERLOO,50703.0,POINT(-92.337563 42.527121),7,BLACK HAWK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-31204300008,10/20/2020,5295,YESWAY STORE # 10023/ WATERLOO,117 SAN MARNAN DR E,WATERLOO,50702.0,POINT(-92.355753 42.457847),7,BLACK HAWK,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-30250200011,9/15/2020,4980,PRONTO BP,7305 LAPORTE RD,WASHBURN,50702.0,POINT(-92.264665 42.409095),7,BLACK HAWK,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-31045900010,10/15/2020,5405,KUM & GO #524/ CORALVILLE,2600 HOLIDAY RD,CORALVILLE,52241.0,POINT(-91.607454 41.700517),52,JOHNSON,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-40181800003,9/17/2021,5572,CASEY'S GENERAL STORE #2790 / CEDAR RAPIDS,588 BOYSON RD NE #110,CEDAR RAPIDS,52402.0,POINT(-91.641223 42.046733),57,LINN,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-28813300003,7/17/2020,5297,YESWAY STORE # 10018/ WEBSTER CITY,1803 SUPERIOR ST,WEBSTER CITY,50595.0,POINT(-93.815845 42.459531),40,HAMILTON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-57045500008,3/28/2023,4697,SOUTHSIDE LIQUOR & TOBACCO / IOWA CITY,1921 KEOKUK ST,IOWA CITY,52240,POINT(-91.52482 41.64196),,JOHNSON,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.5,5.25,24,126,18,4.75
INV-60210200003,7/11/2023,5603,CASEY'S GENERAL STORE #2480 / CHARLES CITY,1105 BLUNT PKWY,CHARLES CITY,50616.0,POINT(-92.672856028 43.066988016),,FLOYD,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.5,5.25,24,126,18,4.75
INV-41160300004,10/20/2021,5283,YESWAY STORE # 10026/ MASON CITY,1303 4TH ST SW,MASON CITY,50401.0,POINT(-93.221539 43.148339),17,CERRO GORDO,1031100.0,AMERICAN VODKAS,434.0,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-28696000013,7/14/2020,4760,WALGREENS #07455 / WATERLOO,111 W RIDGEWAY AVE,WATERLOO,50701.0,POINT(-92.357476 42.469401),7,BLACK HAWK,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.34,5.01,24,120.24,18,4.75
INV-56999400013,3/27/2023,4536,CASEY'S GENERAL STORE #2420 / DUBUQUE,2699 ROCKDALE,DUBUQUE,52003,POINT(-90.67832 42.45509),,DUBUQUE,1031100.0,AMERICAN VODKAS,434,LUXCO INC,36305,HAWKEYE VODKA PET,12,750,3.5,5.25,24,126,18,4.75
