invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-26419300012,4/9/2020,4368,KUM & GO #570 / JOHNSTON,5800 NORTHGLEN DR,JOHNSTON,50131.0,POINT(-93.698308 41.682764),77,POLK,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0
INV-40279300030,9/21/2021,5715,RAYSMARKET,3452 LAFAYETTE ROAD,EVANSDALE,50707.0,POINT(-92.291731 42.478437),7,BLACK HAWK,1071100.0,COCKTAILS/RTD,557,"WORLDWIDE LIBATIONS, LLC",100280,THE BITTER TRUTH COCKTAIL BAR PACK,12,20,9.5,14.25,1,14.25,0.02,0
INV-27187200014,5/12/2020,4648,PRIME MART / BROADWAY WATERLOO,508 BROADWAY ST,WATERLOO,50703.0,POINT(-92.345104 42.510573),7,BLACK HAWK,1701100.0,TEMPORARY & SPECIALTY PACKAGES,35.0,BACARDI USA INC,266,PATRON SILVER SPECIAL TIN,12,750,27.5,41.25,24,990,18,4.75
INV-35510000026,4/2/2021,4136,FAREWAY STORES #983 / GRIMES,351 GATEWAY DR,GRIMES,50111.0,,77,POLK,1700000.0,TEMPORARY & SPECIALTY PACKAGES,65.0,JIM BEAM BRANDS,522,MAKERS MARK W/HOLIDAY ORNAMENT,6,750,17.5,26.25,24,630,18,4.75
INV-54121900001,12/19/2022,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT(-91.7014 42.03062),,LINN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,259,HEAVEN HILL BRANDS,2229,CHRISTIAN BROS HOLIDAY NOG,12,750,4.5,6.75,24,162,18,4.75
INV-42231700008,11/22/2021,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807.0,POINT(-90.513769 41.574973),82,SCOTT,1012200.0,SCOTCH WHISKIES,370,PERNOD RICARD USA,4716,CHIVAS REGAL 12YR,12,750,19.49,29.24,24,701.76,18,4.75
INV-24595700067,1/16/2020,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320.0,POINT(-93.596754 41.554101),77,POLK,1012300.0,SINGLE MALT SCOTCH,240.0,WILLIAM GRANT & SONS INC,5006,GLENFIDDICH 12YR SPECIAL RESERVE,12,750,26,39,24,864,18,4.75
INV-30781400002,10/6/2020,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263.0,POINT(-93.854477 41.615059),25,DALLAS,1012300.0,SINGLE MALT SCOTCH,370.0,PERNOD RICARD USA,5153,GLENLIVET FOUNDERS RESERVE,12,750,20.98,31.47,24,755.28,18,4.75
INV-48590600003,6/22/2022,3628,WAL-MART 1528 / CEDAR RAPIDS,2645 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402.0,POINT(-91.681997 42.034753),57,LINN,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,5326,JOHNNIE WALKER BLACK,12,750,21.99,32.99,24,773.76,18,4.75
INV-50126800001,8/8/2022,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),,SCOTT,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,5346,JOHNNIE WALKER RED,12,750,13.5,20.25,24,486,18,4.75
INV-26183100005,3/30/2020,2670,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241.0,POINT(-91.591868 41.682337),52,JOHNSON,1012200.0,SCOTCH WHISKIES,260,DIAGEO AMERICAS,5346,JOHNNIE WALKER RED,12,750,13.5,20.25,24,486,18,4.75
INV-24965300005,2/3/2020,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT(-93.808855 41.598515),77,POLK,1701100.0,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,5891,JOHNNIE WALKER GAME OF THRONES - A SONG OF ICE,12,750,22.49,33.74,24,809.76,18,4.75
INV-23686300001,12/5/2019,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241.0,POINT(-91.606271 41.721438),52,JOHNSON,1012200.0,SCOTCH WHISKIES,260.0,DIAGEO AMERICAS,6076,THE SINGLETON 12YR,6,750,17.5,26.25,24,630,18,4.75
INV-54381700076,12/27/2022,2549,HY-VEE FOOD STORE (1271) / INDIANOLA,910 N JEFFERSON,INDIANOLA,50125,POINT(-93.55836 41.36854),,WARREN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18,4.75
INV-24129800010,12/24/2019,5522,CASEY'S GENERAL STORE #3653 / GREENE,209 W SOUTH ST,GREENE,50636.0,POINT(-92.812326 42.890772),12,BUTLER,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18,4.75
INV-29795200004,8/27/2020,5102,WILKIE LIQUORS,724 1ST  ST  SE,MOUNT VERNON,52314.0,POINT(-91.410401 41.918328),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18,4.75
INV-26400000006,4/8/2020,5386,CASEY'S GENERAL STORE # 2494/ EAGLE GROVE,200 S COMMERCIAL AVE,EAGLE GROVE,50533.0,POINT(-93.904488 42.662672),99,WRIGHT,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18,4.75
INV-15713700008,11/14/2018,4200,FAREWAY STORES #019 / SIOUX CITY,4016 INDIAN HILLS DR,SIOUX CITY,51108,POINT(-96.373252 42.538578),97,WOODBURY,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18,4.75
INV-15826400016,11/20/2018,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241,POINT(-91.606271 41.721438),52,JOHNSON,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18,4.75
INV-41367100056,10/26/2021,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401.0,POINT(-94.853591 42.064155),14,CARROLL,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18,4.75
INV-53875200020,12/12/2022,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT(-93.61378 41.60575),,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18,4.75
INV-51249200003,9/15/2022,5102,WILKIE LIQUORS,724 1ST STREET NE,MOUNT VERNON,52314,POINT(-91.410401 41.918328),,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18,4.75
INV-38121900014,7/7/2021,6148,BEER ON FLOYD / SIOUX CITY,3132 FLOYD BLVD,SIOUX CITY,51108.0,POINT(-96.372185 42.531448),97,WOODBURY,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18,4.75
INV-34497300090,2/22/2021,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,POINT(-91.530463 41.642764),52,JOHNSON,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18,4.75
INV-16633200003,12/29/2018,5493,SWILS,200 E OAK ST,RED OAK,51566,POINT(-95.230032 41.016691),69,MONTGOMERY,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,10550,BLACK VELVET TOASTED CARAMEL,12,750,6.75,10.13,24,243.12,18,4.75
INV-59768600008,6/27/2023,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401.0,POINT(-94.876658575 42.070527226),,CARROLL,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.74,8.61,24,206.64,18,4.75
INV-21829600001,9/11/2019,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023,POINT(-93.621824 41.705188),77,POLK,1701100.0,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,10784,CROWN ROYAL SALTED CARAMEL,12,750,15.59,23.39,24,561.36,18,4.75
INV-36560800011,5/12/2021,5371,STATE FOOD MART,3715 STATE ST.,BETTENDORF,52722.0,POINT(-90.482018 41.528972),82,SCOTT,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10790,CROWN ROYAL VANILLA,24,375,8,12,48,576,18,4.75
INV-26248500021,4/1/2020,4272,FAREWAY STORES #407 / ESTERVILLE,1108 CENTRAL AVE,ESTHERVILLE,51334.0,POINT(-94.829963 43.402096),32,EMMET,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18,4.75
INV-24020800012,12/18/2019,2642,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219.0,POINT(-92.899277 41.396961),63,MARION,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18,4.75
INV-31134800024,10/19/2020,2671,HY-VEE  /  JEFFERSON,"106, W WASHINGTON ST",JEFFERSON,50129.0,POINT(-94.375508 42.017267),37,GREENE,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18,4.75
INV-19298300003,5/10/2019,2566,HY-VEE FOOD STORE / KNOXVILLE,813 N LINCOLN STE 1,KNOXVILLE,50138,,63,MARION,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18,4.75
INV-31352700027,10/26/2020,2671,HY-VEE  /  JEFFERSON,"106, W WASHINGTON ST",JEFFERSON,50129.0,POINT(-94.375508 42.017267),37,GREENE,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18,4.75
INV-26695900005,4/21/2020,4256,FAREWAY STORES #912 / SIOUX CENTER,115  1ST AVE NW,SIOUX CENTER,51250.0,POINT(-96.176959 43.078003),84,SIOUX,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18,4.75
INV-22341600024,10/4/2019,2523,HY-VEE FOOD STORE / CENTERVILLE,609 N 18TH,CENTERVILLE,52544.0,POINT(-92.867967 40.737577),4,APPANOOSE,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18,4.75
INV-57658900004,4/18/2023,5711,CASEY'S GENERAL STORE #2864/EVANSDALE,1038 RIVER FOREST ROAD,EVANSDALE,50707.0,POINT(-92.298400035 42.463696009),,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18,4.75
INV-55240100030,1/24/2023,3981,WAL-MART 1152 / SIOUX CENTER,255 16TH ST SW,SIOUX CENTER,51250,POINT(-96.17962 43.06085),,SIOUX,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18,4.75
INV-38482600006,7/20/2021,5482,IOWA MINI MART,234 W 3RD ST,DAVENPORT,52801.0,POINT(-90.576054 41.522413),82,SCOTT,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8,12,48,576,18,4.75
INV-58886000004,5/30/2023,5850,CASEY'S GENERAL STORE #2684 - DURANT,504 5TH STREET,DURANT,52747.0,POINT(-90.9125889699999 41.6013969910001),,CEDAR,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10805,CROWN ROYAL REGAL APPLE,24,375,8.49,12.74,48,611.52,18,4.75
INV-56694000050,3/15/2023,2548,HY-VEE FOOD STORE (1011) / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POINT(-93.46496 41.64404),,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18,4.75
INV-57766100006,4/21/2023,2613,HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,2323 W BROADWAY,COUNCIL BLUFFS,51501.0,POINT(-95.879006999 41.2613360120001),,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18,4.75
INV-28512300198,7/6/2020,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732.0,POINT(-90.193204 41.836268),23,CLINTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18,4.75
INV-39772600007,9/2/2021,2106,HILLSTREET NEWS AND TOBACCO,2217 COLLEGE,CEDAR FALLS,50613.0,POINT(-92.455796 42.517182),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-39917100014,9/9/2021,2670,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241.0,POINT(-91.591868 41.682337),52,JOHNSON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-28254100046,6/24/2020,3622,WAL-MART 1415 / SPIRIT LAKE,2600 HWY 71,SPIRIT LAKE,51360.0,POINT(-95.126535 43.416452),30,DICKINSON,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18,4.75
INV-26654300049,4/17/2020,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125.0,,91,WARREN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18,4.75
INV-40471400002,9/28/2021,4825,CASEY'S GENERAL STORE #3212 / OSCEOLA,100 W MCLANE ST,OSCEOLA,50213.0,POINT(-93.765708 41.030603),20,CLARKE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-37329800148,6/9/2021,3820,"CHARLIE'S WINE AND SPIRITS,",507 W 19TH ST,SIOUX CITY,51103.0,POINT(-96.420193 42.510535),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-42817100025,12/10/2021,2606,HY-VEE WINE AND SPIRITS / HUMBOLDT,1011  13TH ST NORTH,HUMBOLDT,50548.0,POINT(-94.227116 42.733221),46,HUMBOLDT,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-37106200029,6/2/2021,4879,SAM'S MINI MART / MORNINGSIDE AVE SIOUX CITY,4218 MORNINGSIDE AVE,SIOUX CITY,51106.0,POINT(-96.352851 42.47063),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-35912900076,4/19/2021,5873,WEST D LIQUORS,5014 EP TRUE PKWY,WEST DES MOINES,50265.0,POINT(-93.772974 41.572144),77,POLK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-42763500078,12/9/2021,2548,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009.0,POINT(-93.465301 41.644041),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-47930000004,5/31/2022,3563,WAL-MART 0559 / MUSCATINE,3003 NORTH HIGHWAY 61,MUSCATINE,52761.0,POINT(-91.025184 41.45565),70,MUSCATINE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18,4.75
INV-37904300016,6/29/2021,4285,FAREWAY STORES #922 / NEW HAMPTON,102 S WATER AVE,NEW HAMPTON,50659.0,POINT(-92.312904 43.058019),19,CHICKASAW,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-48692300096,6/27/2022,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401.0,POINT(-91.659875 41.97574),57,LINN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18,4.75
INV-44479000072,2/7/2022,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807.0,POINT(-90.548919 41.556781),82,SCOTT,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-38040700028,7/2/2021,2566,HY-VEE FOOD STORE / KNOXVILLE,813 N LINCOLN STE 1,KNOXVILLE,50138.0,,63,MARION,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-38544800023,7/21/2021,2522,HY-VEE WINE AND SPIRITS / SPIRIT LAKE,HWY 9 & 71,SPIRIT LAKE,51360.0,,30,DICKINSON,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-48535400050,6/21/2022,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401.0,POINT(-94.853591 42.064155),14,CARROLL,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18,4.75
INV-38328700009,7/14/2021,5636,BIG DISCOUNT LIQUOR,5427  CENTER POINT RD,CEDAR RAPIDS,52402.0,,57,LINN,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,16.59,24.89,24,597.36,18,4.75
INV-31641800005,11/3/2020,4932,B AND B WEST,3105 HUDSON RD,CEDAR FALLS,50613.0,POINT(-92.465838 42.509248),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18,4.75
INV-27720300010,6/4/2020,2106,HILLSTREET NEWS AND TOBACCO,2217 COLLEGE,CEDAR FALLS,50613.0,POINT(-92.455796 42.517182),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,15.59,23.39,24,561.36,18,4.75
INV-45070900070,7/19/2022,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722.0,POINT(-90.483753 41.552389),,SCOTT,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10807,CROWN ROYAL REGAL APPLE,12,750,17.49,26.24,24,629.76,18,4.75
INV-53185200009,11/18/2022,6261,WAUKEE LIQUOR & FOOD MART / WAUKEE,763 SE ALICE'S ROAD,WAUKEE,50263,POINT(-93.85294 41.60536),,DALLAS,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10834,CROWN ROYAL BLACK,24,375,8.74,13.11,48,629.28,18,4.75
INV-14919800016,10/9/2018,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT(-91.701581 42.030129),57,LINN,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10836,CROWN ROYAL BLACK,12,750,17,25.5,24,612,18,4.75
INV-14485600001,9/17/2018,5161,AMERISTAR CASINO COUNCIL BLUFFS GIFT,"2200, RIVER ROAD, GIFT SHOP",COUNCIL BLUFFS,51501,POINT(-95.909384 41.242291),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,8,12,48,576,18,4.75
INV-45195700003,7/22/2022,4514,CASEY'S GENERAL STORE #2813 / FORT DODGE,1230 3RD AVE NW,FORT DODGE,50501.0,POINT(-94.218425 42.515441),,WEBSTER,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL,24,375,8.49,12.74,48,611.52,18,4.75
INV-47941200029,6/1/2022,2548,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POINT(-93.465301 41.644041),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18,4.75
INV-41026700089,10/15/2021,2644,HY-VEE FORT DODGE WINE AND SPIRITS,1511 2ND AVE NORTH,FORT DODGE,50501.0,POINT(-94.177165 42.508344),94,WEBSTER,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18,4.75
INV-42576500005,12/3/2021,3721,WAL-MART 0913 / DECORAH,1798 OLD STAGE RD,DECORAH,52101.0,POINT(-91.752933 43.290185),96,WINNESHIEK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18,4.75
INV-25741300003,3/10/2020,3742,WAL-MART 1625 / LEMARS,1111 HOLTON DR,LE MARS,51031.0,POINT(-96.185499 42.780675),75,PLYMOUTH,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18,4.75
INV-56933100002,3/24/2023,4901,FAREWAY STORES #137 / POLK CITY,1101 SOUTH 5TH STREET,POLK CITY,50226,POINT(-93.7189 41.76387),,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18,4.75
INV-35582700016,4/6/2021,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.621824 41.705188),77,POLK,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18,4.75
INV-39667100006,8/30/2021,4269,TIPTON FAMILY FOODS,610 CEDAR ST,TIPTON,52772.0,POINT(-91.128389 41.771753),16,CEDAR,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18,4.75
INV-31094100004,10/16/2020,4252,FAREWAY STORES #840 / MONTICELLO,433 N FARLEY ST,MONTICELLO,52310.0,POINT(-91.191385 42.241939),53,JONES,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18,4.75
INV-60178900006,7/11/2023,2663,HY-VEE FOOD STORE / URBANDALE,8701 DOUGLAS,URBANDALE,50322.0,POINT(-93.738906371 41.630504742),,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18,4.75
INV-52252100002,10/19/2022,2642,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219,POINT(-92.899279 41.396961),,MARION,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18,4.75
INV-48425200024,6/17/2022,5916,ANOTHER ROUND / DEWITT,622 S 6TH AVE,DEWITT,52742.0,POINT(-90.539056 41.80989),23,CLINTON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18,4.75
INV-22730300110,10/22/2019,2623,HY-VEE FOOD STORE #4 / SIOUX CITY,2827 HAMILTON BLVD,SIOUX CITY,51104.0,POINT(-96.417783 42.519886),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18,4.75
INV-54019100005,12/15/2022,2642,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219,POINT(-92.8993 41.39695),,MARION,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18,4.75
INV-48989900014,7/7/2022,5571,CASEY'S GENERAL STORE #2782 / CEDAR RAPIDS,1495 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT(-91.657883 42.035276),57,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-33572500015,1/19/2021,4558,KUM & GO #226 / SIOUX CITY,1373 PIERCE ST,SIOUX CITY,51105.0,POINT(-96.405013 42.504732),97,WOODBURY,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
INV-36243500008,4/30/2021,4140,FAREWAY STORES #900 / EUCLID,100 EUCLID AVE,DES MOINES,50313.0,POINT(-93.618724 41.627684),77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18,4.75
